entities: 131  relations: 5  max_triples: 5
Epoch   1/300 | Total   0.4702 | CE   0.4702 | KL   2.7580
Epoch   2/300 | Total   0.0939 | CE   0.0523 | KL   1.5599
Epoch   3/300 | Total   0.0740 | CE   0.0195 | KL   1.0235
Epoch   4/300 | Total   0.0911 | CE   0.0194 | KL   0.8965
Epoch   5/300 | Total   0.1096 | CE   0.0217 | KL   0.8246
Epoch   6/300 | Total   0.1255 | CE   0.0237 | KL   0.7632
Epoch   7/300 | Total   0.1418 | CE   0.0261 | KL   0.7230
Epoch   8/300 | Total   0.1569 | CE   0.0285 | KL   0.6877
Epoch   9/300 | Total   0.1724 | CE   0.0316 | KL   0.6601
Epoch  10/300 | Total   0.1868 | CE   0.0342 | KL   0.6358
Epoch  11/300 | Total   0.2002 | CE   0.0370 | KL   0.6119
Epoch  12/300 | Total   0.2139 | CE   0.0397 | KL   0.5936
Epoch  13/300 | Total   0.2270 | CE   0.0426 | KL   0.5762
Epoch  14/300 | Total   0.2398 | CE   0.0454 | KL   0.5607
Epoch  15/300 | Total   0.2522 | CE   0.0484 | KL   0.5461
Epoch  16/300 | Total   0.2644 | CE   0.0515 | KL   0.5323
Epoch  17/300 | Total   0.2762 | CE   0.0539 | KL   0.5209
Epoch  18/300 | Total   0.2880 | CE   0.0572 | KL   0.5092
Epoch  19/300 | Total   0.3000 | CE   0.0605 | KL   0.4991
Epoch  20/300 | Total   0.3113 | CE   0.0635 | KL   0.4890
Epoch  21/300 | Total   0.3221 | CE   0.0666 | KL   0.4791
Epoch  22/300 | Total   0.3319 | CE   0.0701 | KL   0.4676
Epoch  23/300 | Total   0.3446 | CE   0.0736 | KL   0.4619
Epoch  24/300 | Total   0.3539 | CE   0.0765 | KL   0.4524
Epoch  25/300 | Total   0.3652 | CE   0.0802 | KL   0.4452
Epoch  26/300 | Total   0.3745 | CE   0.0834 | KL   0.4367
Epoch  27/300 | Total   0.3853 | CE   0.0872 | KL   0.4300
Epoch  28/300 | Total   0.3951 | CE   0.0909 | KL   0.4225
Epoch  29/300 | Total   0.4053 | CE   0.0949 | KL   0.4157
Epoch  30/300 | Total   0.4135 | CE   0.0981 | KL   0.4078
Epoch  31/300 | Total   0.4239 | CE   0.1022 | KL   0.4022
Epoch  32/300 | Total   0.4343 | CE   0.1061 | KL   0.3970
Epoch  33/300 | Total   0.4423 | CE   0.1094 | KL   0.3901
Epoch  34/300 | Total   0.4515 | CE   0.1136 | KL   0.3839
Epoch  35/300 | Total   0.4599 | CE   0.1168 | KL   0.3785
Epoch  36/300 | Total   0.4710 | CE   0.1229 | KL   0.3729
Epoch  37/300 | Total   0.4799 | CE   0.1263 | KL   0.3683
